Ciudad;Fecha;Gravedad del Accidente;Cantidad;Cantidad_norm
CALI;2013-07-01;CON MUERTOS;9;0.3879838805630422
CALI;2013-07-01;SOLO DAÑOS;614;26.46912251841199
CALI;2013-08-01;CON HERIDOS;1161;50.049920592632446
CALI;2013-08-01;CON MUERTOS;7;0.30176524043792174
CALI;2013-08-01;SOLO DAÑOS;471;20.304489749465876
CALI;2013-09-01;CON HERIDOS;1316;56.73186520232928
CALI;2013-09-01;CON MUERTOS;5;0.21554660031280123
CALI;2013-09-01;SOLO DAÑOS;593;25.563826797098226
CALI;2013-10-01;CON HERIDOS;1324;57.07673976282977
CALI;2013-10-01;CON MUERTOS;3;0.12932796018768072
CALI;2013-10-01;SOLO DAÑOS;608;26.21046659803663
CALI;2013-11-01;CON HERIDOS;1112;47.93756390956699
CALI;2013-11-01;CON MUERTOS;4;0.172437280250241
CALI;2013-11-01;SOLO DAÑOS;448;19.31297538802699
CALI;2013-12-01;CON HERIDOS;341;14.700278141333044
CALI;2013-12-01;SOLO DAÑOS;200;8.621864012512049
